河北1套联通,#genre#
慢直播14,http://101.17.113.135:9999/rtp/239.253.94.14:6613
慢直播15,http://101.17.113.135:9999/rtp/239.253.94.15:6614
慢直播16,http://101.17.113.135:9999/rtp/239.253.94.16:6615
慢直播17,http://101.17.113.135:9999/rtp/239.253.94.17:6616
慢直播18,http://101.17.113.135:9999/rtp/239.253.94.18:6617
慢直播19,http://101.17.113.135:9999/rtp/239.253.94.19:6618
慢直播20,http://101.17.113.135:9999/rtp/239.253.94.20:6619
慢直播21,http://101.17.113.135:9999/rtp/239.253.94.21:6620
慢直播22,http://101.17.113.135:9999/rtp/239.253.94.22:6621
慢直播23,http://101.17.113.135:9999/rtp/239.253.94.23:6622
慢直播24,http://101.17.113.135:9999/rtp/239.253.94.24:6623
慢直播九屏1,http://101.17.113.135:9999/rtp/239.253.94.25:6624
慢直播九屏2,http://101.17.113.135:9999/rtp/239.253.94.26:6625
慢直播九屏3,http://101.17.113.135:9999/rtp/239.253.94.27:6626
4K频道,http://101.17.113.135:9999/rtp/239.253.92.114:6187
羽毛球专区,http://101.17.113.135:9999/rtp/239.253.93.202:6380
点掌财经专区,http://101.17.113.135:9999/rtp/239.253.92.236:6448
主视角-4K,http://101.17.113.135:9999/rtp/239.253.93.123:6291
主视角-高清,http://101.17.113.135:9999/rtp/239.253.93.124:6292
辅视角1-高清,http://101.17.113.135:9999/rtp/239.253.93.125:6293
辅视角 2-高清,http://101.17.113.135:9999/rtp/239.253.93.126:6294
辅视角 3-高清,http://101.17.113.135:9999/rtp/239.253.93.127:6295
主视角-标清,http://101.17.113.135:9999/rtp/239.253.93.128:6296
辅视角 1-标清,http://101.17.113.135:9999/rtp/239.253.93.129:6297
辅视角 2-标清,http://101.17.113.135:9999/rtp/239.253.93.130:6298
辅视角 3-标清,http://101.17.113.135:9999/rtp/239.253.93.131:6299
临时直播频道2,http://101.17.113.135:9999/rtp/239.253.92.21:6226
临时直播频道3,http://101.17.113.135:9999/rtp/239.253.92.216:6227
临时直播频道4,http://101.17.113.135:9999/rtp/239.253.92.219:6228
临时直播频道5,http://101.17.113.135:9999/rtp/239.253.92.220:6229
九屏直播频道,http://101.17.113.135:9999/rtp/239.253.92.203:6150
临时直播,http://101.17.113.135:9999/rtp/239.253.92.116:6029
党教,http://101.17.113.135:9999/rtp/239.253.92.125:6024
河北3套联通,#genre#
CCTV1综合,http://110.241.190.7:808/hls/1/index.m3u8
CCTV2财经,http://110.241.190.7:808/hls/2/index.m3u8
